num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,facenumber_in_poster,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
723,178,0,855,1000,760505847,Action|Adventure|Fantasy|Sci-Fi,4834,0,English,USA,PG-13,237000000,936,7.9,1.78
302,169,563,1000,40000,309404152,Action|Adventure|Fantasy,48350,0,English,USA,PG-13,300000000,5000,7.1,2.35
602,148,0,161,11000,200074175,Action|Adventure|Thriller,11700,1,English,UK,PG-13,245000000,393,6.8,2.35
813,164,22000,23000,27000,448130642,Action|Thriller,106759,0,English,USA,PG-13,250000000,23000,8.5,2.35
462,132,475,530,640,73058679,Action|Adventure|Sci-Fi,1873,1,English,USA,PG-13,263700000,632,6.6,2.35
392,156,0,4000,24000,336530303,Action|Adventure|Romance,46055,0,English,USA,PG-13,258000000,11000,6.2,2.35
324,100,15,284,799,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,2036,1,English,USA,PG,260000000,553,7.8,1.85
635,141,0,19000,26000,458991599,Action|Adventure|Sci-Fi,92000,4,English,USA,PG-13,250000000,21000,7.5,2.35
375,153,282,10000,25000,301956980,Adventure|Family|Fantasy|Mystery,58753,3,English,UK,PG,250000000,11000,7.5,2.35
673,183,0,2000,15000,330249062,Action|Adventure|Sci-Fi,24450,0,English,USA,PG-13,250000000,4000,6.9,2.35
434,169,0,903,18000,200069408,Action|Adventure|Sci-Fi,29991,0,English,USA,PG-13,209000000,10000,6.1,2.35
403,106,395,393,451,168368427,Action|Adventure,2023,1,English,UK,PG-13,200000000,412,6.7,2.35
313,151,563,1000,40000,423032628,Action|Adventure|Fantasy,48486,2,English,USA,PG-13,225000000,5000,7.3,2.35
450,150,563,1000,40000,89289910,Action|Adventure|Western,45757,1,English,USA,PG-13,215000000,2000,6.5,2.35
733,143,0,748,15000,291021565,Action|Adventure|Fantasy|Sci-Fi,20495,0,English,USA,PG-13,225000000,3000,7.2,2.35
258,150,80,201,22000,141614023,Action|Adventure|Family|Fantasy,22697,4,English,USA,PG,225000000,216,6.6,2.35
703,173,0,19000,26000,623279547,Action|Adventure|Sci-Fi,87697,3,English,USA,PG-13,220000000,21000,8.1,1.85
